row_id,n_tokens,suffix3,label,CharBiRNN__seed42,CharBiRNN__seed7,CharBiRNN__seed123,CharBiRNN__seed2024,CharBiRNN__seed777,CharBiLSTM__seed42,CharBiLSTM__seed7,CharBiLSTM__seed123,CharBiLSTM__seed2024,CharBiLSTM__seed777,CharBiGRU__seed42,CharBiGRU__seed7,CharBiGRU__seed123,CharBiGRU__seed2024,CharBiGRU__seed777,CharTransformer__seed42,CharTransformer__seed7,CharTransformer__seed123,CharTransformer__seed2024,CharTransformer__seed777,WordBiRNN__seed42,WordBiRNN__seed7,WordBiRNN__seed123,WordBiRNN__seed2024,WordBiRNN__seed777,WordBiLSTM__seed42,WordBiLSTM__seed7,WordBiLSTM__seed123,WordBiLSTM__seed2024,WordBiLSTM__seed777,WordBiGRU__seed42,WordBiGRU__seed7,WordBiGRU__seed123,WordBiGRU__seed2024,WordBiGRU__seed777,WordTransformer__seed42,WordTransformer__seed7,WordTransformer__seed123,WordTransformer__seed2024,WordTransformer__seed777
18,3,nda,0,0.004342,0.003201,0.008514,0.00428,0.001071,0.00429,0.004206,0.004119,0.012045,0.01741,0.004908,0.001783,0.008249,0.002781,0.025264,0.000377,0.000688,0.000611,0.000533,0.000592,4.8e-05,0.000113,0.000202,0.000722,0.000837,6.9e-05,2e-05,2.7e-05,7e-06,0.000309,0.000141,1.5e-05,4.6e-05,3e-06,5e-06,0.001706,0.00113,0.001801,0.001122,0.003123
19,1,uzi,0,0.079431,0.145722,0.010261,0.04236,0.353686,0.085422,0.106122,0.118906,0.28048,0.116322,0.034473,0.043679,0.02852,0.164775,0.115914,0.066759,0.040385,0.004612,0.106925,0.025174,0.009107,0.946456,0.606416,0.70932,0.081282,0.114816,0.465676,0.731416,0.176862,0.345461,0.025786,0.382141,0.855601,0.090901,0.345124,0.984536,0.052994,0.668766,0.815413,0.039913
20,1,ian,0,0.002032,0.00135,0.000683,0.000406,0.014036,0.015513,0.064995,0.006802,0.004926,0.007846,0.006832,0.006223,0.003361,0.010853,0.03609,0.000329,0.006001,0.00411,0.001062,0.00159,0.051591,0.000746,0.0017,0.006223,0.000952,0.004559,0.008128,0.001506,0.014828,0.000819,0.074016,0.025976,0.000727,0.007487,0.000651,0.001439,0.001264,0.00149,0.000791,0.001016
21,3,o'a,1,0.026832,0.073017,0.184302,0.140705,0.24996,0.018299,0.032193,0.315267,0.024778,0.062268,0.048932,0.351986,0.018254,0.177344,0.066282,0.024588,0.734069,0.809291,0.224234,0.037807,0.010348,0.027036,0.159202,0.045232,0.055085,0.010353,0.001275,0.010309,0.011097,0.009116,0.010759,0.001317,0.002665,0.001574,0.005163,0.00505,0.00198,0.026834,0.003563,0.013006
22,2,yah,0,0.003165,0.001632,0.001433,0.003034,0.004501,0.002232,0.003018,0.004443,0.00941,0.008647,0.003386,0.005453,0.000363,0.003195,0.009179,0.000302,0.000252,0.000361,0.000544,0.000645,0.000414,5.3e-05,0.000182,7.1e-05,0.000745,6.5e-05,8e-06,8e-06,1.7e-05,0.000187,2.5e-05,2.2e-05,1.5e-05,8e-06,7.6e-05,0.001088,0.000833,0.001076,0.000914,0.001037
23,2,mad,0,0.033605,0.01717,0.051964,0.006235,0.001744,0.061604,0.006084,0.041965,0.002203,0.012036,0.021463,0.065221,0.016634,0.11269,0.000767,0.1699,0.048159,0.119369,0.304391,0.006888,0.003622,0.003062,0.00666,0.002921,0.015182,0.041351,0.030559,0.022848,0.039742,0.030116,0.057833,0.044254,0.016016,0.009039,0.021015,0.003227,0.00259,0.006637,0.004023,0.019921
24,2,iwi,1,0.999534,0.999703,0.999218,0.99982,0.999941,0.999478,0.999736,0.999837,0.999424,0.999752,0.999199,0.999532,0.999603,0.999787,0.999762,0.999279,0.999327,0.999176,0.999231,0.999134,0.99994,0.999993,0.999929,0.999974,0.999979,0.999991,0.999997,0.999999,0.999996,0.999995,0.999972,0.999997,0.999989,0.999991,0.99999,0.998775,0.999021,0.99846,0.998825,0.99897
25,3,ndo,0,0.000891,0.000649,0.00038,0.002963,0.001128,0.000671,0.000771,0.000491,0.000438,0.002488,0.000943,0.002276,0.001095,0.001752,0.001619,0.001611,0.000947,0.000766,0.000642,0.001079,0.001125,0.002026,0.001446,0.001195,0.000164,0.000482,0.000958,0.000102,0.000104,0.000991,0.000572,0.001293,0.000271,9.8e-05,0.000218,0.001675,0.001226,0.00121,0.000881,0.001419
26,2,anu,0,0.001283,0.001887,0.000685,0.002531,0.00234,0.001714,0.002522,0.000698,0.001762,0.002292,0.000924,0.003805,0.002606,0.001036,0.00146,0.000923,0.000722,0.000577,0.000486,0.000447,0.002669,0.003119,0.003959,0.00518,0.002479,0.004859,0.006459,0.002196,0.002518,0.002424,0.003712,0.004997,0.00284,0.002438,0.002466,0.002025,0.00128,0.001811,0.001696,0.002421
27,2,iza,0,0.133688,0.093029,0.477222,0.022472,0.007513,0.007966,0.089299,0.084449,0.004651,0.043571,0.040304,0.071825,0.004893,0.043169,0.029337,0.003635,0.002096,0.000818,0.019905,0.021184,0.352175,0.023972,0.141156,0.276516,0.224032,0.150939,0.07991,0.19513,0.053076,0.219843,0.232721,0.18654,0.084009,0.063774,0.133357,0.414935,0.46189,0.26025,0.450522,0.520984
28,2,ana,1,0.990797,0.996791,0.998317,0.999163,0.996773,0.998668,0.999542,0.999722,0.999262,0.997796,0.997201,0.990993,0.99974,0.999052,0.999122,0.998591,0.998346,0.999047,0.999449,0.997714,0.999377,0.999344,0.999317,0.998862,0.99925,0.997382,0.999429,0.999593,0.996737,0.999485,0.992778,0.991358,0.999001,0.998698,0.998505,0.998556,0.998939,0.998068,0.998795,0.998781
29,2,tya,1,0.022438,0.027006,0.094587,0.010097,0.033048,0.011822,0.063795,0.013574,0.008894,0.082631,0.047076,0.047464,0.010501,0.050044,0.041738,0.00911,0.026236,0.019852,0.004991,0.01746,0.01568,0.02932,0.031411,0.030585,0.002724,0.008834,0.005442,0.074393,0.020983,0.004497,0.014563,0.013913,0.024451,0.022772,0.00574,0.001734,0.001214,0.009228,0.001839,0.001676
30,2,jri,0,0.007538,0.006226,0.037784,0.021212,0.096997,0.014897,0.021114,0.086656,0.007157,0.007612,0.005791,0.011428,0.009775,0.00651,0.006525,0.000384,0.003625,0.001224,0.001065,0.002208,0.029418,0.003857,0.239019,0.006209,0.006319,0.018059,0.01024,0.138613,0.01763,0.076509,0.16671,0.035384,0.089596,0.003507,0.000923,0.023554,0.003157,0.029499,0.006901,0.207147
31,3,kti,1,0.96482,0.964082,0.980214,0.860249,0.974079,0.994071,0.979948,0.971415,0.958754,0.85624,0.864267,0.947605,0.913552,0.775326,0.949886,0.996331,0.999043,0.994877,0.996431,0.994073,0.998736,0.998868,0.955594,0.996356,0.999585,0.85553,0.99672,0.999639,0.999231,0.998844,0.956047,0.997013,0.998492,0.99997,0.999691,0.997831,0.996991,0.997223,0.998084,0.994068
32,2,sri,0,0.001019,0.006627,0.03564,0.00305,0.008446,0.012577,0.004951,0.043668,0.010885,0.012196,0.010362,0.010689,0.004527,0.034589,0.016652,0.000603,0.000525,0.002864,0.000691,0.00071,0.000108,0.000712,0.001782,0.000798,0.001774,1.9e-05,0.003896,0.00017,2e-05,0.004407,2.7e-05,0.001266,0.000662,2.8e-05,0.000233,0.003282,0.003119,0.0053,0.001748,0.004202
33,1,mat,0,0.002397,0.020355,0.00661,0.002028,0.177932,0.051368,0.188516,0.054934,0.017771,0.183841,0.039679,0.050515,0.03113,0.046259,0.051826,0.00062,0.0012,0.007049,0.001284,0.001609,0.000835,0.000203,0.001144,0.000984,0.000417,0.000706,0.001138,0.000259,0.000121,0.00042,0.001504,0.003169,0.003116,0.000494,0.000155,0.001281,0.000806,0.001107,0.00083,0.001111
34,2,lis,1,0.477241,0.67288,0.670598,0.964152,0.317243,0.74247,0.740987,0.91857,0.936113,0.935122,0.511605,0.673099,0.921982,0.842232,0.965675,0.643789,0.922833,0.131884,0.301673,0.984655,0.214311,0.92564,0.16499,0.26632,0.388246,0.756403,0.360822,0.379315,0.077606,0.158396,0.791717,0.588957,0.31802,0.491537,0.194364,0.798426,0.98439,0.980591,0.182364,0.523894
35,3,adi,0,0.000482,0.000459,0.003093,0.002537,0.000351,0.000296,0.000141,5.9e-05,3.4e-05,0.00029,0.001266,0.001511,6.2e-05,0.001002,0.00027,0.000208,0.000375,0.000393,0.000277,0.00073,0.000192,7e-06,2.8e-05,0.000129,2e-05,1.2e-05,6e-06,4e-06,1.3e-05,4e-06,6.6e-05,1.3e-05,9e-06,0.0,0.0,0.001237,0.001077,0.00135,0.000835,0.00138
36,2,ini,1,0.996919,0.994498,0.996927,0.999696,0.995342,0.998324,0.999551,0.999642,0.998549,0.999561,0.999524,0.99937,0.999576,0.999388,0.99901,0.999491,0.999096,0.999063,0.999253,0.999235,0.99981,0.999988,0.997654,0.996683,0.999622,0.999982,0.999968,0.999781,0.999754,0.999394,0.999919,0.99998,0.999826,0.999984,0.999966,0.998634,0.998928,0.998163,0.998509,0.998893
37,2,udz,0,0.025859,0.052935,0.027843,0.00466,0.019906,0.029209,0.008424,0.001744,0.002246,0.005601,0.011948,0.032859,0.007813,0.005774,0.027023,0.003028,0.001436,0.002528,0.004466,0.001729,0.152728,0.288954,0.772544,0.556127,0.267838,0.069034,0.060198,0.696136,0.614165,0.334965,0.108437,0.072142,0.241182,0.820984,0.109309,0.200128,0.240333,0.184707,0.008003,0.423282
38,2,edi,0,0.000789,0.000885,0.002135,0.010256,0.002253,0.000721,0.000744,0.001007,0.00028,0.001117,0.000914,0.000622,0.002266,0.00306,0.000664,0.000416,0.000415,0.000464,0.000309,0.000788,0.42436,0.210066,0.113215,0.68887,0.21446,0.183861,0.516029,0.286403,0.208868,0.223988,0.21705,0.379659,0.158641,0.126812,0.172023,0.005128,0.105037,0.87545,0.023678,0.006346
39,2,wan,0,0.002384,0.00419,0.001208,0.001091,0.005537,0.000579,0.000376,0.000262,0.000506,0.004072,0.002034,0.003094,0.000634,0.004039,0.004163,0.000154,0.000273,0.000182,0.000229,0.000293,0.003133,0.000194,0.001286,0.005304,0.005487,0.000781,0.000586,0.000901,0.001461,0.001996,0.000314,0.000711,0.001548,0.000307,0.000999,0.001504,0.001003,0.001374,0.000927,0.001293
40,2,ana,1,0.317445,0.828313,0.881058,0.560208,0.448412,0.724834,0.977752,0.587922,0.90858,0.974176,0.732047,0.622818,0.884198,0.293639,0.834219,0.885289,0.863324,0.420772,0.698989,0.43271,0.277925,0.40117,0.263361,0.442888,0.344723,0.54684,0.407156,0.279356,0.508469,0.329324,0.408249,0.1816,0.417745,0.527174,0.436164,0.232692,0.643083,0.348544,0.456634,0.230748
41,2,ewi,1,0.996142,0.998954,0.997897,0.999001,0.999487,0.999239,0.997829,0.998282,0.996747,0.999206,0.996047,0.99854,0.999167,0.99461,0.999122,0.999451,0.998327,0.998501,0.999432,0.998354,0.998294,0.998483,0.997454,0.99708,0.998832,0.996304,0.981064,0.989282,0.993238,0.990842,0.996132,0.979951,0.994297,0.996749,0.994169,0.99772,0.998347,0.997111,0.997885,0.997749
42,2,ani,1,0.999441,0.997926,0.998923,0.998657,0.99954,0.998173,0.998063,0.999147,0.996912,0.998494,0.9992,0.998622,0.998597,0.997571,0.997955,0.999695,0.999617,0.999078,0.999643,0.999602,0.996387,0.999656,0.996441,0.999676,0.99976,0.996552,0.999964,0.999941,0.99982,0.998718,0.999153,0.999933,0.999987,0.999987,0.998208,0.998372,0.998751,0.998234,0.998913,0.998839
43,3,aha,0,0.00139,0.004262,0.022019,0.001126,0.000373,0.003719,0.003511,0.000486,0.00124,0.001665,0.001391,0.005246,0.000995,0.001054,0.006571,0.000233,0.000235,0.00026,0.00035,0.000347,0.000567,0.001297,0.001056,0.002688,0.001735,0.000172,5e-06,0.001014,9.3e-05,0.000353,8.6e-05,0.000194,0.000504,0.000108,8.6e-05,0.001188,0.001079,0.001399,0.000886,0.001235
44,2,ugi,0,0.00856,0.021444,0.006403,0.021673,0.003231,0.007991,0.004628,0.003696,0.002074,0.00935,0.009887,0.002694,0.005614,0.002949,0.046295,0.004475,0.001917,0.002506,0.002859,0.004947,0.004014,0.007102,0.00212,0.014518,0.00811,0.005238,0.050392,0.00481,0.003777,0.080543,0.018289,0.029947,0.002328,0.007664,0.013593,0.003663,0.001533,0.007927,0.004091,0.015797
45,3,oho,0,0.082055,0.05045,0.033965,0.02348,0.001937,0.01024,0.019335,0.07799,0.003592,0.005365,0.022495,0.052191,0.004371,0.010255,0.008089,0.015243,0.056186,0.005422,0.010184,0.007295,0.002176,0.023514,0.002741,0.00058,0.000278,0.05878,0.114334,0.00019,0.004992,0.002924,0.001945,0.132865,2.7e-05,3.9e-05,0.00012,0.003969,0.001028,0.001753,0.000907,0.003566
46,3,nti,1,0.997234,0.992744,0.991955,0.99822,0.993853,0.987648,0.989856,0.987401,0.989868,0.995754,0.978692,0.997388,0.998678,0.993545,0.98704,0.999226,0.99885,0.999464,0.9997,0.999431,0.16743,0.202276,0.364234,0.261173,0.130136,0.250123,0.541705,0.545518,0.446576,0.671222,0.129012,0.443568,0.350629,0.064981,0.303777,0.461371,0.439986,0.350332,0.266374,0.17784
47,3,nda,1,0.998316,0.998265,0.999887,0.999725,0.998742,0.996263,0.998022,0.998894,0.999285,0.998803,0.998779,0.999444,0.998547,0.999342,0.996713,0.999706,0.999168,0.998519,0.998752,0.999112,0.999813,0.999972,0.999272,0.998761,0.999486,0.999975,0.999921,0.99848,0.999962,0.999806,0.999976,0.999622,0.999982,0.999993,0.999986,0.998187,0.998748,0.997868,0.998352,0.997839
48,2,yah,0,0.000698,0.003258,3.2e-05,8.6e-05,0.001602,0.000385,0.000385,0.000151,6.1e-05,7.1e-05,0.000514,0.000672,1.1e-05,0.001172,0.000227,0.000148,0.000232,0.000336,0.000279,0.000273,0.026245,0.067514,0.074946,0.065411,0.017876,0.032208,0.033615,0.081876,0.048141,0.064632,0.037698,0.072511,0.060503,0.01525,0.040923,0.015526,0.050226,0.035143,0.012638,0.060674
49,2,tri,1,0.999018,0.99753,0.999051,0.99718,0.999341,0.997115,0.994943,0.99841,0.997284,0.994526,0.998033,0.99855,0.997357,0.99361,0.996615,0.998581,0.998753,0.998986,0.999145,0.998736,0.999505,0.999967,0.999598,0.999533,0.999682,0.999924,0.999835,0.999966,0.999927,0.998945,0.999963,0.999775,0.999901,0.999926,0.999956,0.99855,0.99891,0.998358,0.998624,0.998848
50,2,ano,0,0.000383,0.000947,0.001248,0.000206,0.00089,0.000105,1.6e-05,2e-05,4.1e-05,7.5e-05,0.000154,0.000381,0.000404,0.000106,0.001031,0.000132,0.000235,0.000205,0.00031,0.003487,0.1477,0.013386,0.403672,0.455832,0.131271,0.511274,0.078519,0.139879,0.259877,0.394817,0.361405,0.076156,0.301407,0.750207,0.056647,0.538129,0.052498,0.119499,0.006752,0.130632
51,3,man,0,0.03315,0.126007,0.045663,0.014813,0.036614,0.010991,0.123726,0.043522,0.000795,0.026518,0.017885,0.039895,0.024694,0.049866,0.047776,0.01103,0.006777,0.014937,0.003855,0.057957,0.039798,0.001945,0.008577,0.077038,0.028453,0.066261,0.083166,0.011058,0.074464,0.012714,0.117787,0.101834,0.009716,0.202676,0.428876,0.007669,0.002556,0.010539,0.001298,0.009307
52,3,ani,0,0.999535,0.999709,0.995174,0.998353,0.99819,0.999224,0.999311,0.999054,0.998882,0.997709,0.999165,0.997283,0.999656,0.998598,0.999573,0.999782,0.999783,0.999659,0.999779,0.999599,0.967993,0.996491,0.702061,0.944698,0.877408,0.965274,0.998407,0.91781,0.879476,0.932834,0.866858,0.994503,0.965979,0.670274,0.714696,0.935481,0.996994,0.99367,0.998086,0.972327
53,1,zar,0,0.051258,0.001005,0.038814,0.011958,0.015175,0.037175,0.043083,0.075779,0.054042,0.042752,0.024152,0.006399,0.048235,0.020385,0.042821,0.001244,0.001708,0.002631,0.001588,0.000886,0.657174,0.881421,0.54008,0.936285,0.998944,0.636741,0.656235,0.684267,0.93621,0.990953,0.579943,0.348143,0.14714,0.935633,0.991516,0.998276,0.997407,0.992744,0.884058,0.839594
54,2,era,0,0.057213,0.073258,0.176533,0.033382,0.09028,0.037249,0.049844,0.003432,0.013772,0.008724,0.02715,0.120559,0.006346,0.020586,0.140103,0.004697,0.004189,0.003864,0.010483,0.020797,0.587976,0.542792,0.566909,0.634653,0.620387,0.605326,0.604396,0.602184,0.633924,0.612521,0.634842,0.593309,0.602124,0.601285,0.622389,0.549982,0.556574,0.573195,0.51686,0.600849
55,1,ina,1,0.977021,0.94901,0.975235,0.982666,0.957764,0.941557,0.985577,0.913286,0.980749,0.955419,0.937436,0.918235,0.930132,0.918571,0.98467,0.992714,0.994211,0.901206,0.994398,0.997058,0.563039,0.540982,0.587362,0.586701,0.636935,0.617674,0.607226,0.600823,0.564327,0.579033,0.617185,0.596724,0.56696,0.592583,0.636741,0.551216,0.549145,0.571163,0.50682,0.575393
56,2,lba,0,0.003958,0.010556,0.033724,0.000548,0.011164,0.005562,0.038043,0.035193,0.003059,0.015943,0.016372,0.008614,0.09387,0.042834,0.048973,0.001427,0.003038,0.004757,0.000763,0.001016,0.008168,0.000355,0.001103,0.005611,0.004533,0.008691,0.005431,0.006325,0.001013,0.001004,0.00402,0.005087,0.002904,0.001315,0.000755,0.004311,0.001691,0.014244,0.002478,0.004926
57,2,aus,0,0.000165,0.000838,8.5e-05,0.000604,0.000657,0.002062,0.00126,0.000108,0.000287,0.000972,0.000548,0.002055,0.000243,0.000489,0.001118,0.000108,0.000291,0.000271,0.000345,0.000356,1.4e-05,1.3e-05,0.000102,0.000105,0.000112,2e-05,9e-06,1.5e-05,1.6e-05,2.8e-05,5.9e-05,2.6e-05,7e-06,9e-06,8e-06,0.001093,0.000901,0.001239,0.000847,0.001115
58,3,bis,1,0.921039,0.958377,0.952361,0.931803,0.980123,0.913506,0.984965,0.9493,0.992499,0.95169,0.938783,0.792344,0.992043,0.894746,0.983439,0.99786,0.986951,0.901368,0.987689,0.984726,0.997566,0.973393,0.92355,0.935119,0.974607,0.973219,0.894652,0.957476,0.993814,0.981168,0.995898,0.966931,0.953508,0.958593,0.961444,0.72697,0.840494,0.992309,0.78231,0.850954
59,2,wan,0,0.000114,0.000432,0.000205,0.000206,0.002316,0.000285,0.008281,0.001417,8.8e-05,0.002206,0.002397,0.00184,0.000124,0.002102,0.010723,0.000156,0.000343,0.00024,0.000233,0.000282,0.013925,0.02696,0.007889,0.140578,0.053573,0.0329,0.015778,0.061881,0.040825,0.06692,0.07928,0.027337,0.063226,0.021005,0.053501,0.005261,0.010666,0.043272,0.096485,0.080828
60,3,ron,0,0.000734,0.001051,0.00034,0.001893,0.000605,0.001001,0.001658,0.004928,0.000867,0.002472,0.000759,0.0014,0.000437,0.002052,0.002392,0.001074,0.000689,0.000496,0.000602,0.000624,0.000418,0.000208,0.000666,0.001339,0.00054,0.001456,0.001533,0.000107,7.8e-05,0.001378,0.001973,0.0002,0.000191,0.000144,0.00035,0.001816,0.001052,0.001777,0.001281,0.00216
61,2,afi,0,0.001464,0.001727,0.000502,0.001292,0.003833,0.001967,0.00135,0.002105,0.001969,0.002013,0.00222,0.001417,0.008912,0.001063,0.002822,0.000997,0.000819,0.000486,0.000642,0.000553,0.002038,0.00034,0.001211,0.003289,0.000622,0.003956,0.000773,0.00099,0.001835,0.001181,0.002283,0.001816,0.005102,0.003719,0.001545,0.001498,0.001216,0.001226,0.000865,0.001215
